Tiempo (s),Roll Accel (°),Roll Kalman (°),p (°/s)
0.06750082969665527,-0.3774370930119846,-0.3664606238247137,-2.2213740458015265
0.1746959686279297,-0.7039911425991068,-0.7168257947223168,-2.236641221374046
0.2812039852142334,-0.8062986318943992,-0.8717473936884468,-2.3282442748091605
0.388103723526001,-1.0639635735550999,-1.069262463312968,-2.267175572519084
0.7459232807159424,-0.8630919082550539,-1.0691675773814056,-2.2595419847328246
0.8524866104125977,-1.1909775391305673,-1.3140910815641493,-2.33587786259542
0.9603374004364014,-1.7633100315962922,-1.579261807700633,-2.1908396946564888
1.0673620700836182,-0.8314107356129725,-1.360204677748826,-2.213740458015267
1.1744956970214844,-1.131882096602813,-1.3432090479596257,-2.366412213740458
1.2815978527069092,-0.6729813383031014,-1.186354703516876,-2.2595419847328246
1.3886725902557373,-0.5781266664976998,-1.0524997459859176,-2.3435114503816794
1.4951438903808594,-1.6693498306505319,-1.2288058139428246,-2.3053435114503817
1.6020021438598633,-0.6352492436448687,-1.1140599000388378,-2.2977099236641223
1.7440211772918701,-0.8008725317966486,-1.0496687074351425,-2.183206106870229
1.8505890369415283,-1.746648644477149,-1.2166692242037374,-2.198473282442748
1.9580934047698975,-0.10524009591966665,-0.993463931603318,-2.2900763358778624
2.065032720565796,-0.16160305214564688,-0.8125634342056202,-2.198473282442748
2.170959711074829,-0.9603421927814106,-0.8374363350408713,-2.33587786259542
2.2769103050231934,-0.7873131631463837,-0.8062019426496917,-2.122137404580153
2.3828327655792236,-0.8989185935870442,-0.81101463842185,-2.2213740458015265
2.4887564182281494,-1.730734252476862,-0.9802558670649943,-2.282442748091603
2.594686985015869,-0.6888339974141783,-0.9109874272917766,-2.030534351145038
2.7006189823150635,-0.8628678206420533,-0.900666306516868,-2.2290076335877864
2.8068103790283203,-1.6327622680649831,-1.0404778350548372,-2.312977099236641
2.912748098373413,-0.9981887163127684,-1.0530884289364533,-2.366412213740458
3.0186843872070312,-1.007724175411313,-1.062868152834459,-2.3511450381679393
3.1246070861816406,-1.5841525298992873,-1.1662873508622764,-2.2595419847328246
3.231813907623291,-0.6752725768153746,-1.0988584790626155,-2.312977099236641
3.337805986404419,-1.0300616729492549,-1.089508367799283,-2.1908396946564888
3.443779706954956,-1.1742302363999952,-1.1498996822544354,-2.687022900763359
3.5497653484344482,-0.6745659204627976,-1.0349897499648069,-1.8244274809160306
3.6557514667510986,-1.3927994435850324,-1.1312580073417753,-2.6030534351145036
3.761704921722412,-1.4540415592369256,-1.0048187567121083,-0.06106870229007633
3.867659091949463,-0.991075227490327,-0.9518665764277858,-1.5114503816793894
3.9735684394836426,-0.8048305394576172,-0.9446806012101514,-2.3053435114503817
4.079501390457153,-0.9296065474042224,-0.6297293341178334,1.4809160305343512
4.185412645339966,-0.9374836308723206,0.1249300635067434,7.2671755725190845
4.291314601898193,-0.8351562922208998,-0.2366946100719046,-4.015267175572519
4.397289752960205,-0.16061465946716344,-0.07190898655101226,0.022900763358778626
4.503460168838501,-0.4763374131199644,-0.4349411908680349,-5.038167938931298
4.609533309936523,-1.437731996273515,-1.5321892106986825,-12.213740458015268
4.7155396938323975,4.501205987945949,-1.1431842643545511,-9.694656488549619
4.822568416595459,0.13381629116895183,-0.3197315941731914,3.9770992366412212
4.929620265960693,0.34355193315915117,-2.1396390924301483,-25.015267175572518
5.036595582962036,-3.6469540212133476,-2.6845988891837638,-6.557251908396947
5.143863201141357,-4.732387177399738,-3.945076660973295,-13.427480916030534
5.250925302505493,-3.261753967155356,-3.026405647579487,5.938931297709924
5.3578040599823,-0.4789361299311085,-3.871073125371541,-17.938931297709924
5.464839935302734,-2.287511633626133,-3.282957422485295,-0.2748091603053435
5.5718772411346436,-3.8450538956203144,-3.533270081160849,-5.625954198473282
5.678927421569824,-2.4032886922276084,-2.8048770753415644,2.114503816793893
5.785699844360352,-3.5986703953035275,-2.2627926391212823,3.8625954198473287
5.892771005630493,-3.5697617122282668,-2.3329039651190526,-1.786259541984733
5.999774694442749,-2.3697147000968517,-2.121231419943357,-0.9389312977099237
6.106883525848389,-2.086655829086373,-1.9968892581486317,-2.030534351145038
6.2136945724487305,-2.8873062626434463,-2.0427944113411236,-2.053435114503817
6.320796489715576,-3.679596246399334,-2.209583537015483,-1.7251908396946565
6.427634954452515,-2.944383946977383,-2.2630214284607884,-1.9923664122137406
6.534756422042847,-4.883056455462286,-2.7170796727379734,-2.549618320610687
6.64186954498291,-2.2558506976665966,-2.63285292063572,-2.3053435114503817
6.748881578445435,-3.157741680058789,-2.7498181583024035,-2.648854961832061
6.855700969696045,-2.44142270941829,-2.830947710520246,-3.870229007633588
6.962569713592529,-3.150849356280208,-3.1351343457332566,-5.206106870229007
7.0695812702178955,-3.9789890448874323,-3.4284395010309296,-4.0
7.176383018493652,-2.9693263517797424,-3.4393848966321796,-3.3435114503816794
7.283433198928833,-3.8903621614236106,-3.5950715531332933,-3.2213740458015265
7.390563011169434,-2.5893394216786603,-3.1963207311839494,0.16793893129770993
7.497400760650635,-1.3517244304525327,-2.6857379676945965,-0.40458015267175573
7.604426860809326,-3.4051966259767674,-2.8166178925163465,-2.717557251908397
7.71124005317688,-2.9303159468329643,-2.8293751987920692,-2.49618320610687
7.818331241607666,-2.004902279629609,-2.795951463297302,-3.8778625954198476
7.9252002239227295,-2.4772405862040965,-2.6629630192632394,-1.8625954198473282
8.03202509880066,-3.462814887631255,-2.8413725510526566,-3.1526717557251906
8.138929605484009,-2.594486592619445,-2.7218650261876545,-1.7786259541984732
8.245990991592407,-2.2818430537677754,-2.765334679774251,-4.061068702290076
8.352815866470337,-5.011556353085089,-3.013561935455793,-0.9770992366412212
8.459901809692383,9.067393437780607,0.19347240270644578,9.419847328244275
8.567017316818237,4.479799356967997,2.148680693284949,9.32824427480916
8.674103736877441,-1.1969606140874662,1.7720724588304044,-2.0381679389312977
8.78113603591919,-1.0705465998131498,1.5071261452080766,-1.1984732824427482
8.88796877861023,-0.24879237034853713,1.425747206289722,-0.816793893129771
8.995061874389648,-0.2729071796431178,1.7151683975167875,3.6412213740458017
9.102179527282715,1.2356842378399917,2.0357659883784103,1.8778625954198473
